round,order,version,commit,wall_ms,user_s,sys_s,max_rss_kb,mib_s
0,1,parent,a46a94a,12896,56.92,2.24,1797404,476.427
0,2,current,c1a16d3,11892,53.75,2.21,1795924,516.650
1,1,current,c1a16d3,12017,54.11,2.21,1757068,511.276
1,2,parent,a46a94a,13171,57.87,2.24,1754408,466.479
2,1,parent,a46a94a,13133,57.85,2.26,1755196,467.829
2,2,current,c1a16d3,11945,53.78,2.24,1756536,514.357
3,1,current,c1a16d3,12197,54.33,2.22,1755136,503.730
3,2,parent,a46a94a,13034,57.48,2.25,1756468,471.383
4,1,parent,a46a94a,13101,58.03,2.15,1799344,468.972
4,2,current,c1a16d3,11770,53.46,2.17,1800648,522.005
5,1,current,c1a16d3,11808,53.48,2.22,1755784,520.325
5,2,parent,a46a94a,12984,57.39,2.27,1755324,473.198
