workload,round,order,version,wall_ms,user_s,sys_s,max_rss_kb,mib_s
many-small,0,1,baseline,1186,4.34,0.33,133940,421.585
many-small,0,2,current,1032,3.62,0.32,147180,484.496
many-small,0,3,parpar,1852,4.14,0.40,174148,269.978
many-small,1,1,current,1075,3.53,0.34,147284,465.116
many-small,1,2,baseline,1205,4.51,0.34,146592,414.938
many-small,1,3,parpar,2030,4.08,0.38,174760,246.305
many-small,2,1,parpar,2129,4.05,0.50,174636,234.852
many-small,2,2,current,1077,3.51,0.34,135040,464.253
many-small,2,3,baseline,1211,4.51,0.32,146784,412.882
many-small,3,1,baseline,1173,4.41,0.32,132992,426.257
many-small,3,2,parpar,2024,4.08,0.43,174560,247.036
many-small,3,3,current,1027,3.64,0.31,147208,486.855
many-small,4,1,current,1096,3.49,0.35,147160,456.204
many-small,4,2,parpar,2286,4.11,0.46,174500,218.723
many-small,4,3,baseline,1263,4.54,0.30,146804,395.883
many-small,5,1,baseline,1175,4.34,0.31,132088,425.532
many-small,5,2,current,1151,3.26,0.35,131728,434.405
many-small,5,3,parpar,2299,4.11,0.45,174472,217.486
movie-1080p,0,1,baseline,12152,53.06,2.22,1756468,505.596
movie-1080p,0,2,current,11283,43.25,2.24,1760108,544.536
movie-1080p,0,3,parpar,10848,31.17,1.59,780928,566.372
movie-1080p,1,1,current,11168,43.31,2.24,1756836,550.143
movie-1080p,1,2,baseline,12424,52.12,2.28,1755360,494.527
movie-1080p,1,3,parpar,10820,31.16,1.57,780688,567.837
movie-1080p,2,1,parpar,9988,32.95,1.64,783872,615.138
movie-1080p,2,2,current,12150,41.09,2.19,1641284,505.679
movie-1080p,2,3,baseline,12248,52.81,2.31,1800600,501.633
movie-1080p,3,1,baseline,12360,53.49,2.30,1795064,497.087
movie-1080p,3,2,parpar,10633,31.91,1.60,784004,577.824
movie-1080p,3,3,current,11020,43.11,2.23,1793684,557.532
movie-1080p,4,1,current,10953,44.43,2.23,1797580,560.942
movie-1080p,4,2,parpar,10698,31.59,1.53,783716,574.313
movie-1080p,4,3,baseline,11893,53.94,2.24,1797396,516.606
movie-1080p,5,1,baseline,12443,52.56,2.21,1752220,493.772
movie-1080p,5,2,current,11106,44.90,2.29,1793144,553.214
movie-1080p,5,3,parpar,8841,34.41,1.63,783760,694.944
