workload,round,order,version,wall_ms,user_s,sys_s,max_rss_kb,mib_s
many-small,0,1,baseline,1233,4.49,0.36,146468,405.515
many-small,0,2,current,1216,4.53,0.32,146908,411.184
many-small,0,3,parpar,1811,4.13,0.43,174564,276.091
many-small,1,1,current,1164,4.25,0.33,132624,429.553
many-small,1,2,baseline,1210,4.55,0.32,146492,413.223
many-small,1,3,parpar,1914,4.08,0.42,174660,261.233
many-small,2,1,parpar,2242,4.05,0.44,174524,223.015
many-small,2,2,current,1195,4.52,0.30,144596,418.410
many-small,2,3,baseline,1151,4.27,0.31,134472,434.405
many-small,3,1,baseline,1254,4.63,0.32,146812,398.724
many-small,3,2,parpar,2183,4.11,0.45,174656,229.043
many-small,3,3,current,1153,4.23,0.32,133292,433.651
many-small,4,1,current,1223,4.52,0.33,146884,408.831
many-small,4,2,parpar,1998,4.03,0.46,174756,250.250
many-small,4,3,baseline,1180,4.30,0.33,137336,423.729
many-small,5,1,baseline,1168,4.19,0.32,132192,428.082
many-small,5,2,current,1233,4.53,0.36,146956,405.515
many-small,5,3,parpar,2015,4.11,0.41,174864,248.139
movie-1080p,0,1,baseline,12578,57.18,2.29,1796936,488.472
movie-1080p,0,2,current,12134,53.38,2.24,1792868,506.346
movie-1080p,0,3,parpar,10434,32.19,1.65,783604,588.844
movie-1080p,1,1,current,12495,53.28,2.27,1797992,491.717
movie-1080p,1,2,baseline,12435,56.79,2.27,1798748,494.089
movie-1080p,1,3,parpar,9347,34.72,1.61,780888,657.323
movie-1080p,2,1,parpar,10861,31.18,1.58,780816,565.694
movie-1080p,2,2,current,12362,52.08,2.25,1797932,497.007
movie-1080p,2,3,baseline,13015,58.28,2.26,1755104,472.071
movie-1080p,3,1,baseline,12608,57.23,2.25,1794436,487.310
movie-1080p,3,2,parpar,8809,34.97,1.65,783972,697.468
movie-1080p,3,3,current,12375,52.87,2.27,1755628,496.485
movie-1080p,4,1,current,12266,52.89,2.29,1802992,500.897
movie-1080p,4,2,parpar,10653,31.59,1.50,784152,576.739
movie-1080p,4,3,baseline,12627,57.39,2.34,1755228,486.576
movie-1080p,5,1,baseline,12472,56.91,2.31,1800816,492.623
movie-1080p,5,2,current,12618,55.02,2.25,1756752,486.923
movie-1080p,5,3,parpar,9995,32.97,1.65,783872,614.707
