timestamp,host,suite,workload,tool,tool_version,variant,rep,input_bytes,wall_ms,user_ms,sys_ms,max_rss_kb,exit_code,articles,output_bytes,extra
2026-08-21T03:55:51Z,ip-172-31-82-23,par2,many-small,parmesan,parmesan dev,create-r10,1,524288000,1213,4530,340,140924,0,0,56979732,op=create;recovery_pct=10;slice_size=262144;slice_count=2000;recovery_count=200;threads=4;mem_mib=1024;encoder=smart
2026-08-21T03:55:53Z,ip-172-31-82-23,par2,many-small,parmesan,parmesan dev,create-r10,2,524288000,1313,4770,340,147068,0,0,56979732,op=create;recovery_pct=10;slice_size=262144;slice_count=2000;recovery_count=200;threads=4;mem_mib=1024;encoder=smart
2026-08-21T03:55:54Z,ip-172-31-82-23,par2,many-small,parmesan,parmesan dev,create-r10,3,524288000,1188,4460,320,137960,0,0,56979732,op=create;recovery_pct=10;slice_size=262144;slice_count=2000;recovery_count=200;threads=4;mem_mib=1024;encoder=smart
2026-08-21T03:55:56Z,ip-172-31-82-23,par2,many-small,parpar,0.4.6,create-r10,1,524288000,1898,4080,390,174116,0,0,67061684,op=create;recovery_pct=10;slice_size=262144;slice_count=2000;recovery_count=200;threads=4;mem_mib=1024
2026-08-21T03:55:58Z,ip-172-31-82-23,par2,many-small,parpar,0.4.6,create-r10,2,524288000,2326,4090,460,174068,0,0,67061684,op=create;recovery_pct=10;slice_size=262144;slice_count=2000;recovery_count=200;threads=4;mem_mib=1024
2026-08-21T03:56:01Z,ip-172-31-82-23,par2,many-small,parpar,0.4.6,create-r10,3,524288000,2200,3990,500,174016,0,0,67061684,op=create;recovery_pct=10;slice_size=262144;slice_count=2000;recovery_count=200;threads=4;mem_mib=1024
2026-08-21T03:56:11Z,ip-172-31-82-23,par2,many-small,par2cmdline,par2cmdline version 0.8.1,create-r10,1,524288000,9888,38780,170,67000,0,0,70590072,op=create;recovery_pct=10;slice_size=262144;slice_count=2000;recovery_count=200;threads=4;mem_mib=1024
2026-08-21T03:56:21Z,ip-172-31-82-23,par2,many-small,par2cmdline,par2cmdline version 0.8.1,create-r10,2,524288000,9952,39050,150,67008,0,0,70590072,op=create;recovery_pct=10;slice_size=262144;slice_count=2000;recovery_count=200;threads=4;mem_mib=1024
2026-08-21T03:56:31Z,ip-172-31-82-23,par2,many-small,par2cmdline,par2cmdline version 0.8.1,create-r10,3,524288000,9992,39190,170,67024,0,0,70590072,op=create;recovery_pct=10;slice_size=262144;slice_count=2000;recovery_count=200;threads=4;mem_mib=1024
2026-08-21T03:56:40Z,ip-172-31-82-23,par2,many-small,parmesan,absent,verify,1,524288000,1335,1220,100,44196,0,0,0,op=verify
2026-08-21T03:56:41Z,ip-172-31-82-23,par2,many-small,parmesan,absent,verify,2,524288000,1339,1220,110,44448,0,0,0,op=verify
2026-08-21T03:56:42Z,ip-172-31-82-23,par2,many-small,parmesan,absent,verify,3,524288000,1315,1190,120,44344,0,0,0,op=verify
2026-08-21T03:56:44Z,ip-172-31-82-23,par2,many-small,par2cmdline,par2cmdline version 0.8.1,verify,1,524288000,1664,3160,120,8104,0,0,0,op=verify
2026-08-21T03:56:46Z,ip-172-31-82-23,par2,many-small,par2cmdline,par2cmdline version 0.8.1,verify,2,524288000,1684,3210,100,8220,0,0,0,op=verify
