suite,workload,tool,tool_version,variant,extra,runs,failures,input_bytes,wall_median_ms,wall_mean_ms,wall_stddev_ms,rsd_pct,mibps_median,cpu_ratio,max_rss_kb,articles,output_bytes
par2,many-small,par2cmdline,par2cmdline version 0.8.1,create-r10,op=create;recovery_pct=10;slice_size=262144;slice_count=2000;recovery_count=200;threads=4;mem_mib=1024,3,0,524288000,9952.000000,9944.000000,52.459508,0.5,50.2,3.94,67024,0,70590072
par2,many-small,parmesan,parmesan dev,create-r10,op=create;recovery_pct=10;slice_size=262144;slice_count=2000;recovery_count=200;threads=4;mem_mib=1024;encoder=smart,3,0,524288000,1213.000000,1238.000000,66.143783,5.3,412.2,4.06,147068,0,56979732
par2,many-small,parpar,0.4.6,create-r10,op=create;recovery_pct=10;slice_size=262144;slice_count=2000;recovery_count=200;threads=4;mem_mib=1024,3,0,524288000,2200.000000,2141.333333,219.948479,10.3,227.3,2.05,174116,0,67061684
par2,many-small,par2cmdline,par2cmdline version 0.8.1,repair,op=repair;damaged_slices=100,3,0,524288000,5231.000000,5232.666667,9.609024,0.2,95.6,3.25,34856,0,0
par2,many-small,parmesan,absent,repair,op=repair;damaged_slices=100,3,0,524288000,2842.000000,2841.000000,9.539392,0.3,175.9,3.83,82592,0,0
par2,many-small,par2cmdline,par2cmdline version 0.8.1,verify,op=verify,3,0,524288000,1684.000000,1677.333333,11.547005,0.7,296.9,1.96,8220,0,0
par2,many-small,parmesan,absent,verify,op=verify,3,0,524288000,1335.000000,1329.666667,12.858201,1.0,374.5,0.99,44448,0,0
par2,movie-1080p,par2cmdline,par2cmdline version 0.8.1,create-r10,op=create;recovery_pct=10;slice_size=3223552;slice_count=1999;recovery_count=200;threads=4;mem_mib=1024,3,0,6442450944,124022.000000,122694.666667,2489.301977,2.0,49.5,3.24,638620,0,646176744
par2,movie-1080p,parmesan,parmesan dev,create-r10,op=create;recovery_pct=10;slice_size=3223552;slice_count=1999;recovery_count=200;threads=4;mem_mib=1024;encoder=smart,3,0,6442450944,12676.000000,12670.333333,14.364308,0.1,484.7,4.73,1801756,0,645087600
par2,movie-1080p,parpar,0.4.6,create-r10,op=create;recovery_pct=10;slice_size=3223552;slice_count=1999;recovery_count=200;threads=4;mem_mib=1024,3,0,6442450944,10646.000000,10007.666667,1119.510756,11.2,577.1,3.25,783724,0,645894592
par2,movie-1080p,par2cmdline,par2cmdline version 0.8.1,repair,op=repair;damaged_slices=100,3,0,6442450944,161871.000000,161333.000000,5490.803584,3.4,38.0,1.86,144540,0,0
par2,movie-1080p,parmesan,absent,repair,op=repair;damaged_slices=100,3,0,6442450944,38159.000000,38087.666667,217.938829,0.6,161.0,4.31,948972,0,0
par2,movie-1080p,par2cmdline,par2cmdline version 0.8.1,verify,op=verify,3,0,6442450944,37063.000000,37243.666667,398.960315,1.1,165.8,1.04,12384,0,0
par2,movie-1080p,parmesan,absent,verify,op=verify,3,0,6442450944,15160.000000,15165.333333,11.930353,0.1,405.3,1.00,463868,0,0
