timestamp,host,suite,workload,tool,tool_version,variant,rep,input_bytes,wall_ms,user_ms,sys_ms,max_rss_kb,exit_code,articles,output_bytes,extra
2026-08-21T10:47:36Z,medialab,par2,many-small,parmesan,parmesan dev,create-r10,1,524288000,1628,9400,340,154160,0,0,56979732,op=create;recovery_pct=10;slice_size=262144;slice_count=2000;recovery_count=200;threads=6;mem_mib=1024;encoder=smart
2026-08-21T10:47:38Z,medialab,par2,many-small,parmesan,parmesan dev,create-r10,2,524288000,1626,9440,320,153136,0,0,56979732,op=create;recovery_pct=10;slice_size=262144;slice_count=2000;recovery_count=200;threads=6;mem_mib=1024;encoder=smart
2026-08-21T10:47:39Z,medialab,par2,many-small,parmesan,parmesan dev,create-r10,3,524288000,1518,8840,340,153712,0,0,56979732,op=create;recovery_pct=10;slice_size=262144;slice_count=2000;recovery_count=200;threads=6;mem_mib=1024;encoder=smart
2026-08-21T10:47:41Z,medialab,par2,many-small,parpar,0.4.5,create-r10,1,524288000,1920,9430,340,172632,0,0,67061684,op=create;recovery_pct=10;slice_size=262144;slice_count=2000;recovery_count=200;threads=6;mem_mib=1024
2026-08-21T10:47:43Z,medialab,par2,many-small,parpar,0.4.5,create-r10,2,524288000,1945,9830,350,171052,0,0,67061684,op=create;recovery_pct=10;slice_size=262144;slice_count=2000;recovery_count=200;threads=6;mem_mib=1024
2026-08-21T10:47:45Z,medialab,par2,many-small,parpar,0.4.5,create-r10,3,524288000,1959,9610,340,171820,0,0,67061684,op=create;recovery_pct=10;slice_size=262144;slice_count=2000;recovery_count=200;threads=6;mem_mib=1024
2026-08-21T10:48:00Z,medialab,par2,many-small,par2cmdline,par2cmdline version 0.8.1,create-r10,1,524288000,14445,85500,180,67328,0,0,70590072,op=create;recovery_pct=10;slice_size=262144;slice_count=2000;recovery_count=200;threads=6;mem_mib=1024
2026-08-21T10:48:15Z,medialab,par2,many-small,par2cmdline,par2cmdline version 0.8.1,create-r10,2,524288000,14526,85950,180,67456,0,0,70590072,op=create;recovery_pct=10;slice_size=262144;slice_count=2000;recovery_count=200;threads=6;mem_mib=1024
2026-08-21T10:48:29Z,medialab,par2,many-small,par2cmdline,par2cmdline version 0.8.1,create-r10,3,524288000,14579,86330,160,67200,0,0,70590072,op=create;recovery_pct=10;slice_size=262144;slice_count=2000;recovery_count=200;threads=6;mem_mib=1024
2026-08-21T10:48:36Z,medialab,par2,many-small,parmesan,parmesan dev,verify,1,524288000,1122,1020,90,44464,0,0,0,op=verify
2026-08-21T10:48:37Z,medialab,par2,many-small,parmesan,parmesan dev,verify,2,524288000,1120,1020,90,44216,0,0,0,op=verify
